英文|中文
Effect Rack...|效果器...
Fade In Selection|淡入选择
Update WaveView during recording|录制过程中更新波形图
Effects|效果
Change Channel Layout|改变频道布局
Sample Delay|采样延迟
Multi Filter|多个筛选器
Roger Beep|罗杰蜂鸣
Markers|标记
Transport|运输
Artist|艺术家
Copyright|版权
Album|专辑
Composer|作曲家
Genre|类型
Track Number|追踪号码
Field|领域
Part of a compilation|汇编的一部分
Metadata|元数据
Sampling Rate:|采样率：
Bit Depth:|位深度：
Channels:|通道：
Export Audio Format|导出音频格式
Original File:|原始文件：
Workspace:|工作空间：
Original Audio Format|原始音频格式
Working Audio Format|工作音频格式
Apply|应用
Document Properties|文档属性
Sample Rate:|采样率：
Channel Layout:|通道布局：
Document Format|文档格式
Create|创建
Show Selection|显示选择
Next Item|下一项
Previous Item|上一项
Default Action|默认动作
Delete...|删除...
Merge into Current Branch...|合并到当前分支...
Rename...|重命名...
About GitHub Desktop|关于GitHub Desktop
New Repository...|新建库
Hide GitHub Desktop|隐藏GitHub Desktop
Quit GitHub Desktop|退出GitHub Desktop
GitHub Desktop Help|GitHub Desktop帮助
Show Ruler|显示标尺
Open Source Licenses|开源许可证
Show Branches|显示分支
View on GitHub|在GitHub上查看
Enter Full Screen|进入全屏模式
Contact GitHub Support...|联系GitHub支持...
Check for Updates...|检查更新...
Add Local Repository...|添加本地库...
Discard Changes to Selected Files...|放弃对选定文件的更改...
End-User License Agreement|最终用户许可协议
Uncommitted Changes|未提交的更改
History|历史
Open in Finder|在Finder中打开
Copy SHA|拷贝SHA
Publish|发布
Tutorial|教程
New Window|新建窗口
Repository Settings...|库设置...
Automatically Sync after Committing|提交之后自动同步
Clone Repository...|克隆库...
Update from master|从主分支更新
New Branch...|新建分支...
Restore Discarded Changes|恢复放弃的更改
Open in Terminal|在终端打开
Toggle All Files|切换全选文件
Create Pull Request...|创建Pull请求...
Reload Repositories|刷新库
Undo Most Recent Commit|撤消最近提交
Show Repository List|显示库列表
Open in Atom|在Atom中打开
Repository|库
Branch|分支
Plug-ins|插件
Header 2|2级标题
Emphasize|着重
Quit MacDown|退出MacDown
About MacDown|关于MacDown
Header 4|4级标题
Header 6|6级标题
Shift Left|左移
Header 1|1级标题
Left 3:1 Right|左右比3：1
Hide MacDown|隐藏MacDown
Strong|粗体
Hide Preview Pane|隐藏预览窗格
Left 1:3 Right|左右比1：3
Render Markdown|渲染Markdown
Image|图片
Shift Right|右移
Left 1:1 Right|左右比1：1
Inline Code|内嵌代码
Unordered List|无序列表
Ordered List|有序列表
Header 3|3级标题
Copy HTML|拷贝HTML
Blockquote|引用
MacDown Help|MacDown帮助
Hide Editor Pane|隐藏编辑窗格
Header 5|5级标题
New Paragraph|新建段落
Convert To|转换成
Insert spaces instead of tabs|插入空格代替制表符
Auto-complete matching characters|自动完成匹配字符
Scroll past end|滚动可超过结尾
Ensure newline at end of file on save|保存文件时确保末尾有新行
Auto-increment numbering in ordered lists|在有序列表中自动递增编号
Automatically insert line prefix for the current block|为当前块自动插入前缀线
Behavior|行为
Reveal|显示
Reload|刷新
Limit editor width to|限制编辑器宽度为
Line spacing:|行间距：
Change...|更改...
Text insets:|文字插图：
Theme:|主题：
Base font:|基本字体：
⌘← jumps to first non-whitespace character in line|⌘←跳转到行第一个非空白字符
Include syntax highlighting|包括语法高亮
Include styles|包括样式
Update preview automatically as you type|键入时自动更新预览
Sync preview scrollbar when editor scrolls|编辑器滚动时同步预览滚动条
Put editor on the right|编辑器置于右侧
Show word count|显示字数
Ensure open document on launch|确保启动时打开文档
Automatically create files for link targets|为链接目标自动创建文件
Include pre-releases|包括预发布版
Update|更新
Language name|语言名称
Accessory:|附件：
Scale preview based on editor font size|基于编辑器的字体大小缩放预览
Render newline literally|按字面渲染换行符
Detect table of contents token|检测TOC目录标记
Detect Jekyll front-matter|检测Jekyll front-matter
Task list syntax|任务列表语法
Use dollar sign ($) as inline delimiter|使用美元符号（$）作为内联分隔符
Math support requires Internet connection.|数学支持需要互联网连接。
Syntax highlighted code block|语法高亮代码块
Default path:|默认路径：
Applications|应用程序
Fenced code block|包围代码块
Block formatting|块格式化
Quote|引用
Intra-word emphasis|词内强调
Autolink|自动链接
Inline formatting|内联格式化
Document formatting|文档格式化
Auto ( Recommended )|自动（推荐）
Customized|自定义
Radio|Radio
Always Show Word Count|总是显示字数
Show Outline Panel by default|默认显示大纲面板
Themes|主题
Open Theme Folder|打开主题文件夹
Side Panel|侧面板
Classic|经典
Seamless|无缝
Window Style|窗口样式
Auto pair brackets and quotes|自动配对括号和引号
Trigger by Pressing ESC key|按Esc键触发
Trigger Automatically|自动触发
Text Editing|文本编辑
Use relative path if possible|如果可能，使用相对路径
Display line numbers for code fences|代码块显示行号
Copy Markdown source as plain text|复制Markdown源为纯文本
Image Drag &amp; Drop|图像拖放
Default Copy Behavior|默认拷贝行为
Code Fences|包围代码
Emoji Auto-Complete|Emoji自动完成
Indent Size on Saving|保存时缩进大小
Heading Style|标题样式
Syntax Preference|语法偏好
Highlight (e.g: ==key==)|高亮（例：==键==）
Superscript ( e.g: X^2^ )|上标（例：X^2^）
Subscript ( e.g: H~2~O )|下标（例：H~2~O）
Inline Math ( e.g: $\LaTeX$ )|行内数学式（例：$\LaTeX$ ）
Markdown Support|Markdown支持
Send Anonymous Usage Info|发送匿名使用情况信息
Enable Debug|启用调试
Security|安全
Preference|首选项
Custom View|自定义视图
Flexible Space|灵活的空间
Media Wiki|维基媒体
Pandoc Native|Pandoc原生
Enable Debugging|启用调试
Seamless window only support OS X later than 10.10 and typora with light theme.|无缝窗口只支持OS X 10.10以后和typora亮主题。
Abort|放弃
Importing...|导入中...
Importing in progress...|导入中...
Converting file with Pandoc. This may take some time.|用Pandoc转换文件中。这可能需要一些时间。
Require Pandoc to Continue..|需要Pandoc才能继续..
Import function and several export formats requires Pandoc (≥1.16) to be installed.|导入功能和多种输出格式要求安装Pandoc（≥1.16）。
Follow instructions to install Pandoc|按照说明安装Pandoc
Please check `help`-&gt;`Quick Start` for short introduction. Official Document for custom theme is not released yet.|简短介绍请查看`帮助`-&gt;`快速开始`。自定义主题正式文档尚未发布。
Paste As Plain Text|粘贴为纯文本
Quit Typora|退出Typora
About Typora|关于Typora
Quick Start|快速开始
Install and Use Pandoc|安装和使用Pandoc
Open Quickly...|迅速打开...
Markdown Reference|Markdown参考
Jump to Top|跳转到顶部
Change Log|更新日志
Toggle Outline Panel|切换大纲面板
Check for Updates|检查更新
Hide Typora|隐藏Typora
Copy As HTML Code|复制为HTML代码
Replace Next|替换下一个
Always On Top|总在最前面
Jump to Buttom|跳转到底部
Open File Location|打开文件所在位置
Feedback|反馈
Focus Mode|聚焦模式
Website|网站
Copy As Markdown|复制为Markdown
Source Code Mode|源代码模式
Typewriter Mode|打字机模式
Select Line/Sentence|选择行/句
Select Styled Scope|选择带样式范围
Jump To|跳转到
Heading 1|1级标题
Heading 2|2级标题
Heading 3|3级标题
Heading 4|4级标题
Heading 5|5级标题
Heading 6|6级标题
Math Block|数学块
Task List|任务列表
Link Reference|链接引用
Table of Content|目录
Emphasis|斜体
Code|代码
Inline Math|行内数学式
Strike|删除线
Hyperlink|超链接
Clear Format|清除格式
Exporting...|导出...
Exporting in progress...|导出中...
Lines|行数
Minutes|分钟
Wordcunt Popover|Wordcunt弹出框
About Glyphs|关于Glyphs
Hide Glyphs|隐藏Glyphs
Quit Glyphs|退出Glyphs
Save All|全部保存
Revert|还原
Font Info...|字体信息...
Outlines...|轮廓...
Metrics...|指标...
Features...|特征...
Generate Instances|生成实例
Paste Special|选择性粘贴
Clear|清除
Deselect All|全部取消选择
Invert Selection|反向选择
Select Sample Text...|选择样本...
Add Placeholder|添加占位符
Show all Masters|显示所有主干
Info for Selection|所选的信息
Select Next Sample String|选择下一个样本字符串
Select Previous Sample String|选择上一个样本字符串
Comment Selection|注释所选
Compare Fonts...|比较字体...
Glyph|字形
Add Glyphs...|添加字形...
New Glyph|新建字形
Remove Glyph|删除字形
Duplicate Glyph|复制字形
Update Glyph Info|更新字形信息
Update Metrics|更新指标
Update Metrics for all Masters|为所有主干更新指标
Add Component|添加组件
Make Component Glyph|制作组件字形
Decompose Components|分解组件
Component from Selection|从所选建立组件
Add Image...|添加图片...
Set Anchors|设置锚
Reset Anchors|重设锚
Paths|路径
Reverse Contours|反向轮廓
Correct Path Direction|纠正路径方向
Correct Path Direction for all Masters|为所有主干纠正路径方向
Align Selection|对齐所选
Edit Background|编辑背景
Selection to Background|选择到背景
Add Selection to Background|添加选择到背景
Assign Background...|指定背景...
Clear Background|清除背景
Swap with Background|与背景交换
Reconnect Nodes|重新连接节点
Filter|筛选
Last Filter|上一筛选
Zoom to Active Layer|缩放到活动图层
Zoom to actual Size|缩放到实际大小
